figure_id,character
1,AZUR LANE HMS Formidable
2,THE IDOLM@STER CINDERELLA GIRLS Sagisawa Fumika
3,Fate/Grand Order Caster/Murasaki Shikibu
4,THE IDOLM@STER SHINY COLORS Kuwayama Chiyuki
5,Fate/Grand Order Avenger/Jeanne d'Arc (Alter)
6,AZUR LANE HMS Javelin
7,ミリム・ナーヴァ
8,AZUR LANE HMS Belfast
9,Fate/Grand Order Berserker/Miyamoto Musashi
10,AZUR LANE HMS Sirius
11,AZUR LANE FFNF Le Triomphant
12,AZUR LANE FFNF Le Triomphant
13,HYPERDIMENSION NEPTUNE Black Heart
14,HYPERDIMENSION NEPTUNE Purple Heart
15,Atelier Sophie ~The Alchemist of the Mysterious Book~ Sophie Neuenmuller
16,DATE A LIVE Tokisaki Kurumi
17,SWORD ART ONLINE Asuna
18,栗花落 カナヲ
19,Ryuo no Oshigoto! Sora Ginko
20,AZUR LANE USS St.Louis
21,AZUR LANE USS St.Louis
22,A Certain Scientific Railgun T Shokuhou Misaki
23,SWORD ART ONLINE THE MOVIE Ordinal Scale Asuna
24,Atelier Ryza: Ever Darkness & the Secret Hideout Lila Decyrus
25,AZUR LANE KMS Prinz Eugen
26,THE IDOLM@STER CINDERELLA GIRLS Kamiya Nao
27,Atelier Sophie ~The Alchemist of the Mysterious Book~ Plachta
28,MAITETSU pure station Hachiroku
29,13 SENTINELS: AEGIS RIM Iori Fuyusaka
30,Fate/Grand Order Lancer/Mysterious Alter Ego Λ
31,AZUR LANE RN Pola
32,AZUR LANE IJN Atago
32,AZUR LANE IJN Takao
33,AZUR LANE IJN Atago
34,AZUR LANE IJN Takao
35,AZUR LANE IJN Atago
36,AZUR LANE IJN Takao
37,AZUR LANE USS Baltimore
38,Atelier Ryza: Ever Darkness & the Secret Hideout Reisalin Stout
39,ARKNIGHTS Schwarz
40,AZUR LANE IJN Azuma
41,AZUR LANE IJN Azuma
42,THE IDOLM@STER SHINY COLORS Serizawa Asahi
43,OVERLORD Lupusregina β
44,THE IDOLM@STER CINDERELLA GIRLS Hayami Kanade
45,AZUR LANE USS St.Louis
46,AZUR LANE USS St.Louis
47,AZUR LANE KMS Prinz Eugen
48,Fate/Grand Order MoonCancer/BB
49,Fate/Grand Order MoonCancer/BB
50,Touhou Project Flandre Scarlet
51,Fate/Grand Order Scáthach
52,“EVANGELION” series Rei Ayanami (tentative name)
53,AZUR LANE USS Honolulu
54,AZUR LANE USS Honolulu
55,THE IDOLM@STER CINDERELLA GIRLS Miyamoto Frederica
56,Saenai heroine no sodate-kata.Fine Kato Megumi
57,AZUR LANE KMS Graf Zeppelin
58,AZUR LANE USS Baltimore
59,AZUR LANE USS Baltimore
60,空の律者　キアナ
61,ユウキ
62,胡蝶 しのぶ
63,シノン
64,宮本 武蔵　私服Ver.
65,アスナ　GGO Ver.
66,セイバー／アルトリア・ペンドラゴン［オルタ］　ドレスVer.
67,春日野 穹　Ending Ver.
68,籾岡 里紗
69,アルターエゴ／メルトリリス
70,桐須 真冬　競泳水着Ver.
