id,name,series,scale,brand,origin_url
1,フォーミダブル,アズールレーン,1/7,Alter,https://alter-web.jp/products/503/
2,鷺沢 文香　潮風の一頁Ver.,アイドルマスター シンデレラガールズ,1/7,Alter,https://alter-web.jp/products/507/
3,キャスター／紫式部,Fate/Grand Order,1/7,Alter,https://alter-web.jp/products/508/
4,桑山 千雪　よそゆき顔のセレナーデVer.,アイドルマスター シャイニーカラーズ,1/7,Alter,https://alter-web.jp/products/501/
5,アヴェンジャー／ジャンヌ・ダルク〔オルタ〕,Fate/Grand Order,1/7,Alter,https://alter-web.jp/products/230/
6,ジャベリン　ビーチピクニック！Ver.,アズールレーン,1/7,Alter,https://alter-web.jp/products/499/
7,ミリム・ナーヴァ,転生したらスライムだった件,1/7,Alter,https://alter-web.jp/products/502/
8,ベルファスト　彩雲の薔薇Ver.,アズールレーン,1/7,Alter,https://alter-web.jp/products/497/
9,バーサーカー／宮本 武蔵,Fate/Grand Order,1/7,Alter,https://alter-web.jp/products/498/
10,シリアス　青雲映す碧波Ver.,アズールレーン,1/7,Alter,https://alter-web.jp/products/495/
11,ル・トリオンファン,アズールレーン,1/7,Alter,https://alter-web.jp/products/490/
12,ル・トリオンファン　軽装Ver.,アズールレーン,1/7,Alter,https://alter-web.jp/products/491/
13,ブラックハート,超次元ゲイム ネプテューヌ,1/7,Alter,https://alter-web.jp/products/91/
14,パープルハート,超次元ゲイム ネプテューヌ,1/7,Alter,https://alter-web.jp/products/181/
15,ソフィー（ソフィー・ノイエンミュラー）,ソフィーのアトリエ ～不思議な本の錬金術士～,1/7,Alter,https://alter-web.jp/products/486/
16,時崎 狂三,劇場版 デート・ア・ライブ 万由里ジャッジメント,1/8,Alter,https://alter-web.jp/products/243/
17,アスナ　ウンディーネVer.,ソードアート・オンライン,1/7,Alter,https://alter-web.jp/products/494/
18,栗花落 カナヲ,鬼滅の刃,1/8,Alter,https://alter-web.jp/products/496/
19,空 銀子　猫耳姉弟子Ver.,りゅうおうのおしごと！,1/7,Alter,https://alter-web.jp/products/488/
20,セントルイス,アズールレーン,1/7,Alter,https://alter-web.jp/products/479/
21,セントルイス　軽装Ver.,アズールレーン,1/7,Alter,https://alter-web.jp/products/478/
22,食蜂 操祈　スク水ニーソVer.,とある科学の超電磁砲Ｔ,1/7,Alter,https://alter-web.jp/products/492/
23,アスナ,劇場版 ソードアート・オンライン -オーディナル・スケール-,1/7,Alter,https://alter-web.jp/products/218/
24,リラ（リラ・ディザイアス）,ライザのアトリエ ～常闇の女王と秘密の隠れ家～,1/7,Alter,https://alter-web.jp/products/489/
25,プリンツ・オイゲン,アズールレーン,1/7,Alter,https://alter-web.jp/products/264/
26,神谷 奈緒　一陣の情熱Ver.,アイドルマスター シンデレラガールズ,1/7,Alter,https://alter-web.jp/products/483/
27,プラフタ,ソフィーのアトリエ ～不思議な本の錬金術士～,1/7,Alter,https://alter-web.jp/products/197/
28,ハチロク　水着Ver.,まいてつ pure station,1/6,Alter,https://alter-web.jp/products/482/
