name,material
フォーミダブル,PVC
フォーミダブル,ABS
鷺沢 文香　潮風の一頁Ver.,PVC
鷺沢 文香　潮風の一頁Ver.,ABS
キャスター／紫式部,PVC
キャスター／紫式部,ABS
桑山 千雪　よそゆき顔のセレナーデVer.,PVC
桑山 千雪　よそゆき顔のセレナーデVer.,ABS
アヴェンジャー／ジャンヌ・ダルク〔オルタ〕,PVC
アヴェンジャー／ジャンヌ・ダルク〔オルタ〕,ABS
ジャベリン　ビーチピクニック！Ver.,PVC
ジャベリン　ビーチピクニック！Ver.,ABS
ミリム・ナーヴァ,PVC
ミリム・ナーヴァ,ABS
ベルファスト　彩雲の薔薇Ver.,PVC
ベルファスト　彩雲の薔薇Ver.,ABS
バーサーカー／宮本 武蔵,PVC
バーサーカー／宮本 武蔵,ABS
シリアス　青雲映す碧波Ver.,PVC
シリアス　青雲映す碧波Ver.,ABS
ル・トリオンファン,PVC
ル・トリオンファン,ABS
ル・トリオンファン　軽装Ver.,PVC
ル・トリオンファン　軽装Ver.,ABS
ブラックハート,PVC
ブラックハート,ABS
パープルハート,PVC
パープルハート,ABS
ソフィー（ソフィー・ノイエンミュラー）,PVC
ソフィー（ソフィー・ノイエンミュラー）,ABS
時崎 狂三,PVC
時崎 狂三,ABS
アスナ　ウンディーネVer.,PVC
アスナ　ウンディーネVer.,ABS
栗花落 カナヲ,PVC
栗花落 カナヲ,ABS
空 銀子　猫耳姉弟子Ver.,PVC
空 銀子　猫耳姉弟子Ver.,ABS
セントルイス,PVC
セントルイス,ABS
セントルイス　軽装Ver.,PVC
セントルイス　軽装Ver.,ABS
食蜂 操祈　スク水ニーソVer.,PVC
食蜂 操祈　スク水ニーソVer.,ABS
アスナ,PVC
アスナ,ABS
リラ（リラ・ディザイアス）,PVC
リラ（リラ・ディザイアス）,ABS
プリンツ・オイゲン,PVC
プリンツ・オイゲン,ABS
神谷 奈緒　一陣の情熱Ver.,PVC
神谷 奈緒　一陣の情熱Ver.,ABS
プラフタ,PVC
プラフタ,ABS
ハチロク　水着Ver.,PVC
ハチロク　水着Ver.,ABS
冬坂 五百里,PVC
冬坂 五百里,ABS
