figure_id,measurement
1,全高：約240mm
1,全長：約30mm【艦載機】
2,全高：約230mm
3,全高：約290mm（傘含む）
4,全高：約250mm
5,全高：約430mm（旗含む）
6,全高：約270mm（武器含む）
7,全高：約230mm（台座含む）
8,全高：約260mm
9,全高：約330mm（武器含む）
10,全長：約280mm（小物含む）
11,全高：約240mm
11,全長：約270mm（武器／艤装含む）
12,全高：約240mm
12,全長：約250mm（武器含む）
13,全高：約310mm（羽／台座含む）
13,全長：約410mm（羽／武器含む）
14,全高：約350mm（羽／台座含む）
15,全高：約260mm（杖／台座含む）
16,全高：約220mm
17,全高：約270mm
18,全高：約210mm
19,全高：約240mm
20,全高：約260mm
21,全高：約260mm
22,全高：約230mm
23,全高：約240mm
24,全高：約230mm
25,全長：約270mm（艤装含む）
26,全高：約240mm
27,全高：約130mm
28,全高：約230mm
29,全高：約260mm（台座含む）
30,全高：約250mm
31,全高：約160mm
32,全高：約250mm
33,全高：約250mm
34,全高：約250mm
35,全高：約240mm
36,全高：約180mm
37,全高：約250mm
38,全高：約240mm
39,全高：約400mm（武器／台座含む）
40,全高：約180mm（棚含む）
41,全高：約170mm
42,全高：約280mm（台座含む）
43,全高：約280mm（武器／台座含む）
44,全高：約240mm
45,全高：約260mm
46,全高：約260mm
47,全長：約270mm（艤装含む）
48,全高：約290mm（台座含む）
49,全高：約290mm（台座含む）
50,全高：約250mm（台座含む）
51,全高：約290mm
52,全高：約220mm
53,全高：約260mm
54,全高：約260mm
55,全高：約230mm
56,全高：約240mm
57,全高：約250mm
58,全高：約260mm
58,全長：340mm（艤装含む）
59,全高：約260mm
60,全高：約290mm（武器／台座含む）
60,全長：約390mm（武器含む）
61,全高：約230mm
62,全高：約220mm（台座含む）
63,全高：約250mm
64,全高：約260mm
65,全高：約260mm
65,全長：約280mm（武器含む）
66,全高：約230mm
67,全高：約240mm
68,全高：約140mm（台座含む）
69,全高：約370mm（台座含む）
70,全高：約230mm
71,全長：約190mm（クッション含む）
72,全高：約230mm
73,全高：約230mm
74,全高：約190mm（台座含む）
75,全高：約220mm
76,全高：約150mm
77,全高：約250mm
78,全高：約210mm
79,全高：約220mm
80,全高：約240mm
81,全高：約150mm
82,全高：約250mm（業魔手含む）
82,頭頂高：約220mm
83,全高：約230mm
84,全高：約190mm
85,全長：約290mm（台座含む）
86,全高：約220mm
87,全高：約220mm
88,全高：約150mm
89,全高：約150mm
90,全高：約320mm
90,頭頂高：約220mm
91,全高：約430mm（旗含む）
92,全高：約230mm
93,全高：約190mm
94,全長：約220mm
95,全高：約240mm
96,全高：約220mm
97,全高：約250mm（台座含む）
98,全高：約250mm（台座含む）
99,全高：約220mm（台座含む）
100,全高：約210mm（傘含む）
101,全高：約330mm（武器含む）
102,全高：約210mm
103,全高：約220mm
104,全高：約210mm
105,全高：約210mm
106,全高：約170mm
107,全高：約220mm
108,全高：約240mm
109,全高：約220mm
110,全高：約230mm
111,全高：約210mm
112,全高：約240mm（武器・台座含む）
113,全高：約240mm（台座含む）
114,全高：約130mm
115,全高：約240mm
116,全長：約220mm
117,全高：約220mm
118,全高：約220mm
119,全高：約350mm（羽／台座含む）
120,全高：約240mm
121,全高：約210mm
122,全高：約180mm
123,全高：約280mm（羽含む）
124,全高：約230mm（帽子含む）
125,全高：約210mm
126,全高：約240mm
127,全高：約240mm
128,全高：約230mm
129,全長：約500mm（飛行形態：武器含む）
129,全高：約440mm（フル武装形態：武器／台座含む）
130,全高：約230mm
131,全高：約240mm（台座含む）
132,全高：約200mm
133,全高：約220mm
134,全高：約218mm
135,全高：【美森】約250mm（台座含む）
135,【青坊主】約60mm（台座含む）
136,全高：約220mm
137,全長：約220mm
138,全高：約180mm
139,全高：約160mm
140,全高：約230mm（マフラー含む）
141,全高：約270mm（台座含む）
142,全高：約240mm（台座含む）
143,全高：約280mm（台座含む）
144,全高：約210mm（台座含む）
145,全高：約260mm（フラッグ含む）
146,全高：約240mm
147,全高：約200mm
147,約210mm（ギター含む）
148,全高：約200mm
149,全高：約250mm
150,全高：約240mm（帽子含む）
151,全高：【いすず】約150mm（台座含む）
151,【モッフル】約55mm
152,全高：約230mm（シャワー含む）
153,全高：約220mm（椅子含む）
154,全高：約270mm（台座含む）
155,全高：約230mm（台座含む）
156,全高：約350mm（武器・台座含む）
157,全高：約230mm（台座含む）
158,全高：約230mm
159,全高：【ハルナ】約230mm
159,【ヨタロウ】約70mm
160,全高：約230mm
161,全高：約210mm（台座含む）
162,全高：約330mm（武器／台座含む）
163,全高：約210mm
164,全高：約200mm（台座含む）
165,全高：約260mm（台座含む）
166,全高：約210mm（武器含む）
167,全高：約310mm（羽／台座含む）
167,全長：約410mm（羽／武器含む）
168,全高：約550mm（武器／台座含む）
168,頭頂高：約300mm（台座含む）
169,全高：約220mm
170,全高：【友奈】約180mm
170,【牛鬼】約80mm（浮遊：台座含む）
170,約45mm（座り）
171,全高：約240mm（武器含む）
172,全高：約230mm（台座含む）
173,全高：約250mm
174,全長：約230mm（クッション含む）
175,全高：約230mm
176,全高：約170mm（帽子／台座含む）
177,全高：約210mm（武器含む）
178,全高：約350mm（台座含む）
179,全高：約210mm（武器含む）
179,全長：約270mm（武器含む）
180,全高：約230mm（台座含む）
181,全高：約240mm（台座含む）
182,全高：約250mm（台座含む）
183,全高：約220mm（台座含む）
184,全高：約180mm（台座含む）
185,全高：約270mm（台座含む）
186,全高：約220mm（椅子含む）
187,全高：約190mm
188,全高：約260mm（台座含む）
189,全高：約270mm（帽子含む）
189,約290mm（リインフォースⅡ含む）
190,全高：約260mm（武器／台座含む）
191,全高：約130mm
192,全高：約200mm
193,全高：約390mm（最大時：武器／台座含む）
193,頭頂高：約240mm（台座含む）
194,全高：約350mm（最大時：武器／台座含む）
194,全長：約330mm（最大時：武器含む）
195,全高：【あかね】約140mm（台座含む）
195,【一色博士】約30mm
196,全高：約180mm
197,全高：約230mm（射撃時：台座含む）
197,約340mm（射撃後：武器／台座含む）
198,全高：約230mm（台座含む）
199,全高：約210mm
200,全高：約200mm（台座含む）
201,全高：約160mm（台座含む）
202,全高：【鹿角】約250mm（台座含む）
202,全長：【アスファルトの大剣】各約400mm
203,全高：約180mm（台座含む）
204,全高：約230mm
205,全高：約245mm
206,全高：【エステル】約200mm（台座含む）
206,【ミニフィギュア】約55mm
207,全高：約130mm
208,全高：約310mm（翼含む）
209,全高：約240mm（台座含む）
210,全高：約230mm（武器／台座含む）
211,全高：約210ｍｍ
212,全高：約250mm（台座含む）
213,全高：約250mm（台座含む）
214,全高：約180mm
215,全高：約200mm
216,全高：約270mm
217,全高：約230mm
218,全高：約205mm（台座含む）
219,全高：約240mm
220,全高：約210mm
221,全高：約300mm
222,全高：約225mm（武器含む）
222,頭頂高：160mm
223,全高：【本体】約180ｍｍ
223,【ペンギンミニフィギュア】約80mm（リンゴ含む）
224,全高：約200mm
225,全高：約240mm（台座含む）
226,全高：約180mm
227,全高：約180mm（台座含む）
228,全高：約220mm
229,全高：約240mm（武器・台座含む）
230,全高：約210mm
231,全高：約240mm（台座含む）
232,全高：約200mm（台座含む）
233,全高：約110mm（台座含む）
234,全高：約250mm（武器含む）
235,全高：約200mm（台座含む）
236,全高：220mm（疾風：武器／台座含む）
236,210mm（敬礼：帽子／台座含む）
237,全高：約210mm（台座含む）
238,全高：約200mm
239,全高：約210mm（台座含む）
240,全高：約210mm
241,全高：約200mm
242,全高：約200mm
243,全高：約130mm（髪飾り含む）
244,全高：約220mm
245,全高：約270mm
246,全高：約260mm
247,全高：【リタ】約200mm（台座含む）
247,【ミニフィギュア】約50mm
248,全高：約190mm
249,全高：約190mm（台座含む）
250,全高：約200mm
251,全高：約290mm（シャワー含む）
251,頭頂高：約240mm
252,全高：約195mm
253,全高：約285mm（台座含む）
254,全高：約230mm
255,全高：約210mm（台座含む）
256,全高：195mm
257,全高：約195mm
258,全高：約190mm（スティック含む）
258,全長：約200mm
259,全高：約245mm（台座含む）
260,全高：約185mm
261,全高：【平沢憂】約195mm
261,【まったり唯】約30mm
262,全高：約210mm（台座含む）
263,全高：約240mm
264,全高：約195mm（台座含む）
265,全高：約170mm
266,全高：約270mm（台座含む）
267,全高：約190mm
268,全高：約200mm
269,全高：約105mm
270,全高：約200mm（台座・羽衣含む）
271,全高：約210mm
272,全高：約195mm
273,全高：約190mm
274,全高：約350mm（台座含む）
274,ライオットブレード：約270mm
274,ライオットザンバー：約560mm
275,全高：約420mm（最大時
275,武器・台座含む）
275,全長：約550mm（最大時
275,武器含む）
276,全高：約235mm（台座含む）
277,全高：【木下秀吉】約180mm
277,【召喚獣】約50mm
278,全高：約200mm
279,全高：約290mm（武器含む）
280,全高：約200mm
281,全高：約250mm
282,全高：約110mm（リボン含む）
283,全高：約230mm（フリスビー・台座含む）
284,全高：約210mm（楽器含む）
285,全高：約215mm
286,全高：約230mm（リボン含む）
287,全高：約220mm（武器含む）
288,全高：約280mm（台座含む）
289,全高：約205mm
290,全高：約255mm（武器含む）
291,全高：約195mm
292,全高：約200mm（台座含む）
293,全高：約180mm
294,全高：【シャマル】約330mm（台座含む）
294,【ザフィーラ】約75mm
295,全高：約210mm（帽子含む）
296,全高：約200mm
297,全高：約220mm（台座含む）
298,全高：約220mm
299,全高：約200mm
300,全高：約140mm
301,全高：約210mm
302,全高：約215mm
303,全高：約270mm（台座含む）
304,全高：約220mm
305,全高：約230mm
306,全高：約200mm
307,全高：約210mm
308,全高：約185mm
309,全高：約190mm
310,全高：約220mm
311,全高：約260mm（台座含む）
312,全高：約150mm
313,全高：【川添珠姫】約105mm（竹刀含む）
313,【ディフォルメのタマちゃん】約60mm
314,全高：約215mm
315,全高：約230mm
316,全高：約160mm（台座含む）
317,全高：約300mm（薙刀・台座含む）
317,頭頂高：約230mm（台座含む）
318,全高：約120mm
319,全高：約190mm
320,全高：約220mm
321,全高：約280mm（武器含む）
322,全高：約160mm
323,全高：約260mm
324,全高：約170mm（台座含む）
325,全高：約210mm
326,全高：【八神はやて】約290mm（台座含む）
326,【リインフォースⅡ】約45mm
327,全高：約180mm
328,全高：約220mm
329,全長：約170mm
330,全高：約250mm（武器含む）
331,全高：約190mm
332,全高：約220mm
333,全高：約200mm
334,全高：約200mm
335,全高：約220mm
336,全高：約200mm
337,全高：約180mm
338,全高：約200mm
339,全高：約210mm
340,全高：約130mm
341,全高：約100mm
342,全高：約250mm（台座含む）
343,全高：約200mm
344,全高：約190mm（台座含む）
345,全高：約140mm
346,全高：【アロエ】約180mm
346,【CPUシャロン】約60mm
347,全高：約260mm（台座含む）
348,全高：約190mm
349,全高：約210mm
350,全高：約200mm
351,全高：約180mm
352,全高：約245mm
353,全高：約180mm
354,全高：約250mm（台座含む）
355,全高：約125mm
356,全高：約190mm
357,全高：約190mm
358,全高：約210mm
359,全高：約250mm
360,全高：約190mm
361,全高：約100mm
362,全高：約200mm
363,全高：約180mm
364,全高：約190mm
365,全高：約145mm
366,全高：約160mm
367,全高：約170mm
368,全高：約280mm
369,全高：約210mm
370,全高：約200mm
371,全高：約130mm
372,全高：約190mm
373,全長：約200mm
374,全高：【津崎青葉】約160mm
374,【モリビト2号】約70mm
375,全高：約160mm
376,全高：約195mm
377,全高：約180mm
378,全高：約200mm
379,全高：約180mm
380,全高：約200mm
381,全高：約240mm
