figure_id,painter
1,鉄森 七方【フォーミダブル】
1,DUTCH【艦載機】
2,星名 詠美
3,焦シミ
3,渡邊 恭大
4,鉄森 七方
5,鉄森 七方
6,渡邊 恭大
7,渡邊 恭大
8,星名 詠美
9,鉄森 七方
10,鉄森 七方
11,鉄森 七方【ル・トリオンファン】
11,みうら おさみ【艤装】
12,鉄森 七方
13,渡邊 恭大
14,DUTCH
15,鉄森 七方
16,五日市 歩
17,鉄森 七方
18,爪塚 ヒロユキ
19,渡邊 恭大
20,鉄森 七方【セントルイス】
20,みうら おさみ【艤装】
21,鉄森 七方
22,鉄森 七方
23,渡邊 恭大
24,星名 詠美
25,渡邊 恭大【プリンツ・オイゲン】
25, 山本 洋平【艤装】
25,みうら おさみ【艤装】
26,星名 詠美
27,鉄森 七方
28,渡邊 恭大
29,鉄森 七方
30,鉄森 七方
31,鉄森 七方
32,星名 詠美
33,星名 詠美
34,星名 詠美
35,星名 詠美
36,星名 詠美
37,けん 
38,鉄森 七方
39,鉄森 七方
40,星名 詠美
41,星名 詠美
42,爪塚 ヒロユキ
43,渡邊 恭大
44,鉄森 七方
45,鉄森 七方【セントルイス】
45,みうら おさみ【艤装】
46,鉄森 七方
47,渡邊 恭大【プリンツ・オイゲン】
47, 山本 洋平【艤装】
47,みうら おさみ【艤装】
48,星名 詠美
49,星名 詠美  
50,鉄森 七方
51,沼倉 としあき
52,鉄森 七方
53,鉄森 七方【ホノルル】
53,みうら おさみ【艤装】
54,鉄森 七方
55,鉄森 七方
56,DUTCH
57,鉄森 七方
58,渡邊 恭大
59,渡邊 恭大
60,鉄森 七方
61,渡邊 恭大
62,爪塚 ヒロユキ
63,渡邊 恭大
64,渡邊 恭大
65,DUTCH
66,鉄森 七方
67,渡邊 恭大
68,DUTCH
69,星名 詠美
70,爪塚 ヒロユキ
71,鉄森 七方
72,星名 詠美
73,鉄森 七方
74,星名 詠美
75,星名 詠美
76,渡邊 恭大【志摩 リン】
76, みうら おさみ【スクーター】
77,星名 詠美
78,DUTCH
79,鉄森 七方
80,鉄森 七方
81,鉄森 七方
82,えこし
83,星名 詠美
84,渡邊 恭大
85,星名 詠美 
86,五日市 歩
87,えこし
88,鉄森 七方
89,鉄森 七方
90,星名 詠美
91,鉄森 七方
92,鉄森 七方
93,渡邊 恭大
94,渡邊 恭大
95,渡邊 恭大
96,鉄森 七方
97,鉄森 七方
98,星名 詠美
99,渡邊 恭大
100,星名 詠美
101,星名 詠美
102,鉄森 七方
103,渡邊 恭大
104,星名 詠美
105,星名 詠美
106,星名 詠美
107,鉄森 七方
108,渡邊 恭大
109,鉄森 七方
110,鉄森 七方
111,鉄森 七方
112,星名 詠美
113,DUTCH
114,鉄森 七方
115,鉄森 七方
116,鉄森 七方
117,彩部 一路
118,彩部 一路
119,DUTCH
120,渡邊 恭大
121,星名 詠美
122,鉄森 七方
123,星名 詠美
124,鉄森 七方
125,渡邊 恭大
126,渡邊 恭大
127,彩部 一路
128,彩部 一路
129,渡邊 恭大
130,渡邊 恭大
131,鉄森 七方
132,彩部 一路
133,鉄森 七方
134,鉄森 七方
135,爪塚 ヒロユキ
136,星名 詠美
137,鉄森 七方
138,鉄森 七方
139,DUTCH
140,鉄森 七方
141,鉄森 七方
143,星名 詠美
144,星名 詠美
145,彩部 一路
146,鉄森 七方
147,渡邊 恭大
148,渡邊 恭大
149,彩部 一路
150,彩部 一路
151,渡邊 恭大
152,渡邊 恭大
154,渡邊 恭大
155,星名 詠美
158,鉄森 七方
159,渡邊 恭大
160,星名 詠美
162,柳生 敏之
163,明田川 昇
164,DUTCH
165,鉄森 七方
166,星名 詠美
167,渡邊 恭大
168,爪塚 ヒロユキ
169,渡邊 恭大
170,爪塚 ヒロユキ
171,DUTCH
172,渡邊 恭大
173,ガレキの翔子
174,鉄森 七方
175,星名 詠美
176,蒼炎の人形師
178,渡邊 恭大
179,渡邊 恭大
180,蒼炎の人形師
181,DUTCH
182,彩部 一路
183,鉄森 七方
184,鉄森 七方
185,渡邊 恭大
187,渡邊 恭大
188,渡邊 恭大
189,渡邊 恭大
190,DUTCH
191,鉄森 七方
193,爪塚 ヒロユキ
194,渡邊 恭大
195,鉄森 七方
196,ガレキの翔子
197,DUTCH【リネット】
197,みうら おさみ【ストライカーユニット／武器】
198,渡邊 恭大
199,渡邊 恭大
200,DUTCH
201,渡邊 恭大
203,明田川 昇
204,彩部 一路
207,鉄森 七方
407,渡邊 恭大
408,渡邊 恭大
409,けん
409,渡邊 恭大
410,渡邊 恭大
411,鉄森 七方
412,星名 詠美
413,鉄森 七方
414,DUTCH
415,DUTCH
416,星名 詠美
417,渡邊 恭大
418,DUTCH
419,DUTCH
420,DUTCH
421,渡邊 恭大
422,沼倉 としあき
423,沼倉 としあき
424,渡邊 恭大
425,DUTCH
426,鉄森 七方
427,星名 詠美
428,沼倉 としあき
428,DUTCH
429,DUTCH
430,渡邊 恭大
431,鉄森 七方
432,鉄森 七方
433,渡邊 恭大
434,星名 詠美
435,ガレキの翔子
436,ガレキの翔子
437,鉄森 七方
438,渡邊 恭大
439,鉄森 七方
440,渡邊 恭大
441,鉄森 七方
442,ALHIKO
443,沼倉 としあき
444,蒼炎の人形師
445,鉄森 七方
446,沼倉 としあき
448,鉄森 七方
449,鉄森 七方
450,渡邊 恭大
451,渡邊 恭大
452,渡邊 恭大
453,沼倉 としあき
466,鉄森 七方
467,沼倉 としあき
468,渡邊 恭大、沼倉 としあき
469,竜人
470,渡邊 恭大
471,彩色／カラーデザイン：星名 詠美
472,渡邊 恭大
473,渡邊 恭大
474,星名 詠美
474,アルター
475,星名 詠美
476,渡邊 恭大
477,彩色／カラーデザイン：星名 詠美
478,渡邊 恭大
479,明田川 昇
480,渡邊 恭大
