figure_id,price_with_tax,price_without_tax,version
1,34980,31800,Standard
2,21780,19800,Standard
3,29480,26800,Standard
4,20680,18800,Standard
5,29480,26800,Standard
6,20680,18800,Standard
7,20680,18800,Standard
8,23980,21800,Standard
9,21780,19800,Standard
10,23980,21800,Standard
11,29480,26800,Standard
12,19580,17800,Standard
13,18480,16800,Standard
14,20680,18800,Standard
15,21780,19800,Standard
16,19580,17800,Standard
17,20680,18800,Standard
18,16280,14800,Standard
19,15180,13800,Standard
20,30580,27800,Standard
21,16280,14800,Standard
22,15180,13800,Standard
23,18480,16800,Standard
24,20680,18800,Standard
25,44880,40800,Standard
26,19580,17800,Standard
27,19580,17800,Standard
28,19580,17800,Standard
29,20680,18800,Standard
30,31680,28800,Standard
31,18480,16800,Standard
32,40480,36800,Standard
33,20680,18800,Standard
34,20680,18800,Standard
35,22880,20800,Standard
36,17380,15800,Standard
37,22880,20800,Standard
38,23980,21800,Standard
39,45980,41800,Standard
40,31680,28800,Standard
41,25080,22800,Standard
42,36080,32800,Standard
43,25080,22800,Standard
44,21780,19800,Standard
45,30580,27800,Standard
46,16280,14800,Standard
47,44880,40800,Standard
48,30580,27800,Standard
49,30580,27800,Standard
50,34980,31800,Standard
51,18480,16800,Standard
52,20680,18800,Standard
53,36080,32800,Standard
54,21780,19800,Standard
55,19580,17800,Standard
56,16280,14800,Standard
57,25080,22800,Standard
58,34980,31800,Standard
59,20680,18800,Standard
60,25080,22800,Standard
61,16280,14800,Standard
62,17380,15800,Standard
63,19580,17800,Standard
64,15180,13800,Standard
65,19580,17800,Standard
66,17380,15800,Standard
67,22880,20800,Standard
68,15180,13800,Standard
69,27280,24800,Standard
70,14080,12800,Standard
71,15180,13800,Standard
72,14080,12800,Standard
73,16280,14800,Standard
74,22880,20800,Standard
75,14080,12800,Standard
76,23100,21000,Standard
77,,15800,Standard
78,,18000,Standard
79,,12800,Standard
80,,19800,Standard
81,,15800,Standard
82,,18800,Standard
83,,16800,Standard
84,,14800,Standard
85,,13800,Standard
86,19580,17800,Standard
87,,15800,Standard
88,,16800,Standard
89,,15800,Standard
90,,21800,Standard
91,29480,26800,Standard
92,,12800,Standard
93,,14800,Standard
94,,13800,Standard
95,,12800,Standard
96,,13200,Standard
97,,16800,Standard
98,,14800,Standard
99,,17800,Standard
100,,12800,Standard
101,,17800,Standard
102,,12800,Standard
103,,13800,Standard
104,,9800,Standard
105,,20800,Standard
106,,14800,Standard
107,,12800,Standard
108,18480,16800,Standard
109,,20800,Standard
110,,12800,Standard
111,,15800,Standard
112,,16800,Standard
113,,15800,Standard
114,19580,17800,Standard
115,,12800,Standard
116,,20800,Standard
117,,15800,Standard
118,,15800,Standard
119,20680,18800,Standard
120,,19800,Standard
121,,16800,Standard
122,,12800,Standard
123,,24800,Standard
124,,13800,Standard
125,,16800,Standard
126,,12800,Standard
127,,17800,Standard
128,,13800,Standard
129,,24000,Standard
130,,13800,Standard
131,,14800,Standard
132,,15800,Standard
133,,11800,Standard
134,,11800,Standard
135,,14800,Standard
136,,11800,Standard
137,,16800,Standard
138,,10800,Standard
139,,11800,Standard
140,,10800,Standard
141,,13800,Standard
142,,11800,Standard
143,,14800,Standard
144,,10800,Standard
145,,13800,Standard
146,,15800,Standard
147,,11800,Standard
148,,11800,Standard
149,,15800,Standard
150,,15800,Standard
151,,12800,Standard
152,,12800,Standard
153,,13800,Standard
154,,12800,Standard
155,,13800,Standard
156,,10800,Standard
157,,10800,Standard
158,,10800,Standard
159,,13800,Standard
160,,11800,Standard
161,,9800,Standard
162,,19800,Standard
163,,12800,Standard
164,,12800,Standard
165,,12800,Standard
166,,10000,Standard
167,18480,16800,Standard
168,,14800,Standard
169,,12800,Standard
170,,11800,Standard
171,,12800,Standard
172,,11800,Standard
173,,12800,Standard
174,,9800,Standard
175,,11800,Standard
176,,9800,Standard
177,,8800,Standard
178,,17800,Standard
179,,11800,Standard
180,,9800,Standard
181,,13800,Standard
182,,17800,Standard
183,,11800,Standard
184,,10800,Standard
185,,16800,Standard
186,,13800,Standard
187,,8800,Standard
188,,12000,Standard
189,,13800,Standard
190,,9800,Standard
191,,9200,Standard
192,,8800,Standard
193,,16800,Standard
194,,17800,Standard
195,,8200,Standard
196,,9800,Standard
197,,9800,Standard
198,,9800,Standard
199,,11000,Standard
200,,8800,Standard
201,,7800,Standard
202,,12000,Standard
203,,7800,Standard
204,,8000,Standard
205,,7800,Standard
206,,8400,Standard
207,,7800,Standard
208,,11800,Standard
209,,6800,Standard
210,,9800,Standard
211,,8800,Standard
212,,11000,Standard
213,,11000,Standard
214,,11800,Standard
215,,7800,Standard
216,,9200,Standard
217,,8800,Standard
218,,8800,Standard
219,,8800,Standard
220,,7800,Standard
221,,8800,Standard
222,,8800,Standard
223,,11800,Standard
224,,7800,Standard
225,,13000,Standard
226,,6800,Standard
227,,7800,Standard
228,,7800,Standard
229,,7800,Standard
230,,9800,Standard
231,,8800,Standard
232,,8800,Standard
233,,5800,Standard
234,,7800,Standard
235,,7800,Standard
236,,8800,Standard
237,,7800,Standard
238,,6800,Standard
239,,7800,Standard
240,,7800,Standard
241,,8800,Standard
242,,7800,Standard
243,,8800,Standard
244,,7800,Standard
245,,8800,Standard
246,,7800,Standard
247,,8800,Standard
248,,6800,Standard
249,,7800,Standard
250,,7800,Standard
251,,8800,Standard
252,,6800,Standard
253,,9800,Standard
254,,7800,Standard
255,,7800,Standard
256,,7800,Standard
257,,5800,Standard
258,,9800,Standard
259,,6800,Standard
260,,6800,Standard
261,,6800,Standard
262,,6800,Standard
263,,7800,Standard
264,,9800,Standard
265,,6800,Standard
266,,9800,Standard
267,,7800,Standard
268,,4800,Standard
269,,4800,Standard
270,,11800,Standard
271,,6800,Standard
272,,6800,Standard
273,,6800,Standard
274,,12800,Standard
275,,11800,Standard
276,,7800,Standard
277,,6800,Standard
278,,6800,Standard
279,,7800,Standard
280,,6800,Standard
281,,9800,Standard
282,,6800,Standard
283,,6800,Standard
284,,6800,Standard
285,,9800,Standard
286,,6800,Standard
287,,7800,Standard
288,,7800,Standard
289,,7800,Standard
290,,7800,Standard
291,,6800,Standard
292,,6800,Standard
293,,6800,Standard
294,,9800,Standard
295,,6800,Standard
296,,6800,Standard
297,,8800,Standard
298,,7800,Standard
299,,6800,Standard
300,,6800,Standard
301,,6800,Standard
302,,6800,Standard
303,,12800,Standard
304,,6800,Standard
305,,7500,Standard
306,,6300,Standard
307,,8200,Standard
308,,6800,Standard
309,,6800,Standard
310,,7800,Standard
311,,7800,Standard
312,,6800,Standard
313,,5800,Standard
314,,7800,Standard
315,,6800,Standard
316,,6800,Standard
317,,7800,Standard
318,,5800,Standard
319,,5800,Standard
320,,5800,Standard
321,,8800,Standard
322,,6800,Standard
323,,7800,Standard
324,,5800,Standard
325,,6800,Standard
326,,9800,Standard
327,,5800,Standard
328,,5800,Standard
329,,5800,Standard
330,,7800,Standard
331,,6800,Standard
332,,6800,Standard
333,,6800,Standard
334,,6800,Standard
335,,6300,Standard
336,,5800,Standard
337,5800,,Standard
338,,5500,Standard
339,,5800,Standard
340,,5800,Standard
341,,4800,Standard
342,6800,,Standard
343,4800,,Standard
344,,6800,Standard
345,,4800,Standard
346,,5300,Standard
347,,14800,Standard
348,,4800,Standard
349,,6300,Standard
350,5800,,Standard
351,,6300,Standard
352,,6800,Standard
353,,5800,Standard
354,,5800,Standard
355,,4800,Standard
356,,4800,Standard
357,6800,,Standard
358,5800,,Standard
359,6800,,Standard
360,5800,,Standard
361,4800,,Standard
362,5800,,Standard
363,5800,,Standard
364,4200,,Standard
365,4800,,Standard
366,4800,,Standard
367,4800,,Standard
368,6800,,Standard
369,4800,,Standard
370,5300,,Standard
371,4200,,Standard
372,4800,,Standard
373,4800,,Standard
374,6800,,Standard
375,4800,,Standard
376,4800,,Standard
377,5500,,Standard
378,4800,,Standard
379,4800,,Standard
380,5800,,Standard
381,5800,,Standard
382,4800,,Standard
383,4800,,Standard
384,3800,,Standard
385,4800,,Standard
386,4200,,Standard
387,4800,,Standard
388,4800,,Standard
389,4200,,Standard
390,4800,,Standard
391,5300,,Standard
392,4200,,Standard
393,4800,,Standard
394,4800,,Standard
395,4800,,Standard
396,5800,,Standard
397,4200,,Standard
398,5800,,Standard
399,4200,,Standard
400,4200,,Standard
401,6800,,Standard
402,5800,,Standard
403,3500,,Standard
404,4200,,Standard
405,4800,,Standard
406,6800,,Standard
407,29920,27200,Standard
408,29480,26800,Standard
409,22880,20800,Standard
410,18480,16800,Standard
411,19580,17800,Standard
412,,22500,Standard
413,,17200,Standard
414,,12800,Standard
415,,16800,Standard
416,,12800,Standard
417,,12800,Standard
418,,11800,Standard
419,,13800,Standard
420,,12800,Standard
421,,12800,Standard
422,,12800,Standard
423,,11800,Standard
424,,11800,Standard
425,,10800,Standard
426,,11800,Standard
427,,10800,Standard
428,,14800,Standard
429,,10800,Standard
430,,12800,Standard
431,,10800,Standard
432,,11800,Standard
433,,10800,Standard
434,,11800,Standard
435,,10800,Standard
436,,11000,Standard
437,,9800,Standard
438,,9800,Standard
439,,8800,Standard
440,,8800,Standard
441,,15800,Standard
442,,8800,Standard
443,,8800,Standard
444,,8800,Standard
445,,8800,Standard
446,,8800,Standard
447,,8800,Standard
448,,8200,Standard
449,,8200,Standard
450,,7800,Standard
451,,7800,Standard
452,,7800,Standard
453,,8800,Standard
454,,7800,Standard
455,,7800,Standard
456,,8800,Standard
457,,8000,Standard
458,,7800,Standard
459,,6800,Standard
460,,7800,Standard
461,,6800,Standard
462,,6800,Standard
463,,6800,Standard
464,,6800,Standard
465,,6800,Standard
466,22880,,Standard
467,15400,,Standard
468,16280,,Standard
469,13120,,Standard
470,15278,,Standard
471,14400,,Standard
472,15278,,Standard
473,15278,,Standard
474,15000,,Standard
475,,19800,Standard
476,15984,,Standard
477,11800,,Standard
478,12960,,Normal
478,13960,,Limited
479,12744,,Normal
479,13944,,Limited
480,,9200,Standard
481,8190,,Standard
482,8190,,Standard
483,8000,,Standard
484,9240,,Standard
485,8190,,Standard
486,6500,,Standard
487,,6800,Standard
488,,7480,Standard
489,,6980,Standard
490,,5800,Standard
491,,6980,Standard
492,,4980,Standard
