figure_id,year,month
1,2022,12
2,2022,12
3,2022,12
4,2022,11
5,2022,10
5,2019,10
6,2022,10
7,2022,10
8,2022,9
9,2022,8
10,2022,8
11,2022,7
12,2022,7
13,2022,5
13,2015,11
14,2022,5
14,2018,4
15,2022,5
16,2022,5
16,2019,12
17,2022,5
18,2022,5
19,2022,5
20,2023,6
20,2022,3
21,2023,6
21,2022,3
22,2022,3
23,2022,3
23,2018,11
24,2022,3
25,2023,5
25,2022,1
26,2022,1
27,2022,1
27,2018,7
28,2022,1
29,2023,12
30,2023,11
31,2023,11
32,2023,10
33,2023,10
34,2023,10
35,2023,9
35,2020,6
36,2023,9
36,2020,10
37,2023,9
38,2023,9
39,2023,9
40,2023,8
41,2023,8
42,2023,7
43,2023,7
44,2023,6
44,2020,6
45,2023,6
45,2022,3
46,2023,6
46,2022,3
47,2023,5
47,2022,1
48,2023,5
49,2023,5
50,2023,5
51,2023,4
51,2020,7
52,2023,4
53,2023,4
54,2023,4
55,2023,3
56,2023,3
57,2023,1
58,2023,1
59,2023,1
60,2021,12
61,2021,12
62,2021,9
63,2021,9
63,2018,10
64,2021,8
65,2021,8
66,2021,7
66,2019,7
66,2017,2
67,2021,7
68,2021,7
69,2021,7
70,2021,6
71,2021,6
72,2021,5
72,2016,1
73,2021,5
74,2021,4
75,2021,2
75,2018,8
76,2021,2
77,2020,11
78,2020,9
79,2020,9
79,2016,7
80,2020,5
81,2020,5
82,2020,5
83,2020,5
84,2020,4
85,2020,1
86,2022,5
86,2019,12
87,2019,12
88,2019,12
89,2019,11
90,2019,11
91,2022,10
91,2019,10
92,2019,10
92,2015,5
92,2014,10
93,2019,8
94,2019,7
95,2019,7
96,2019,6
97,2019,6
98,2019,6
99,2019,5
100,2019,4
100,2016,11
101,2019,4
102,2019,3
102,2016,5
103,2019,3
104,2019,1
104,2015,1
105,2019,1
106,2018,12
107,2018,12
108,2022,3
108,2018,11
109,2018,11
110,2018,10
111,2018,9
112,2018,8
113,2018,8
114,2022,1
114,2018,7
115,2018,6
116,2018,6
117,2018,5
118,2018,5
119,2022,5
119,2018,4
120,2018,4
121,2018,4
122,2018,3
123,2018,2
124,2018,2
125,2018,2
126,2018,1
127,2017,12
128,2017,11
128,2015,8
129,2017,11
130,2017,11
131,2017,10
132,2017,8
133,2017,8
134,2017,7
135,2017,6
136,2017,5
137,2017,5
138,2017,5
