figure_id,sculptor
1,飛田 崇文【フォーミダブル】
1,飛田 崇文【艤装／艦載機】
1,みうら おさみ【艤装／艦載機】
2,タカク＆タケシ
3,無銘
4,齊藤 史樹
5,いまい（モワノー）
5,柳生 敏之
6,槙尾 宗利
7,稲垣 洋
8,柳生 敏之
9,田中 冬志 
10,みさいる【シリアス／マスコット】
10,ウサギ【艤装／小物】
11,槙尾 宗利【ル・トリオンファン】
11,槙尾 宗利【艤装】
11,ウサギ【艤装】
12,槙尾 宗利
13,明田川 昇
14,槙尾 宗利【パープルハート】
14,ウサギ【ユニット／武器】
15,明田川 昇
16,明田川 昇
17,飛田 崇文
18,爪塚 ヒロユキ
19,田中 冬志 
20,ヤドカリ／【セントルイス】
20,ウサギ【艤装】
21,ヤドカリ 
22,ヤドカリ
22,柳生 敏之
23,無銘
24,本宮 あまと
25,田中 冬志  
26,みさいる
27,槙尾 宗利
28,タカク＆タケシ
29,稲垣 洋
30,sai
31,みさいる
32,槙尾 宗利
33,槙尾 宗利
34,槙尾 宗利
35,槙尾 宗利
36,槙尾 宗利
37,田中 冬志
38,みさいる
39,飛田 崇文【シュヴァルツ】
39,ウサギ【武器】
40,槙尾 宗利
41,槙尾 宗利
42,爪塚 ヒロユキ
43,たなか☆せんう
44,無銘
45,ヤドカリ／【セントルイス】
45,ウサギ【艤装】
46,ヤドカリ 
47,田中 冬志  
48,sai 
49,sai 
50,sai
51,沼倉 としあき
52,飛田 崇文
53,みさいる【ホノルル】
53,ウサギ【艤装】
54,みさいる
55,飛田 崇文
56,てるゆき
56,DUTCH
57,本宮 あまと
58,田中 冬志【ボルチモア】
58,ウサギ【艤装】
59,田中 冬志
60,sai
61,無銘
62,爪塚 ヒロユキ
63,田中 冬志 
64,沼倉 としあき
65,田中 冬志 
66,のぶた（リボルブ）
67,蒼炎の人形師
68,てるゆき
68,DUTCH
69,みさいる
70,爪塚 ヒロユキ
71,本宮 あまと
72,てるゆき 
73,ヤドカリ 
74,稲垣 洋
75,タカク＆タケシ
76,たなか☆せんう【志摩 リン】
76, みうら おさみ【スクーター】
77,爪塚 ヒロユキ
78,きむ（モワノー）
79,橋本 涼
80,柳生 敏之
81,飛田 崇文
82,田中 冬志
83,みさいる
84,sai
85,てるゆき 
86,明田川 昇
87,いまい
87,けんぞー（モワノー）
88,飛田 崇文
89,稲垣 洋
89,飛田 崇文
90,本宮 あまと
91,いまい（モワノー）
91,柳生 敏之
92,のぶた（リボルブ）
93,sai
94,槙尾 宗利【マシュ】
94, sai【フォウくん】
95,無銘
95,稲垣 洋
96,橋本 涼
97,sai
98,爪塚 ヒロユキ
99,田中 冬志
100,沼倉 としあき
101,齊藤 史樹
102,本宮 あまと
103,i-con（藍色空色）
104,タカク＆タケシ
105,槙尾 宗利
106,たなか☆せんう
107,本宮 あまと
108,無銘
109,柳生 敏之
110,橋本 涼
111,sai
112,i-con（藍色空色）
113,爪塚 ヒロユキ【雁淵 ひかり】
113,ウサギ【ストライカーユニット】
114,槙尾 宗利
115,沼倉 としあき
116,みさいる
116,DUTCH
117,飛田 崇文
118,飛田 崇文
119,槙尾 宗利【パープルハート】
119,ウサギ【ユニット／武器】
120,無銘
121,sai
122,てるゆき 
123,柳生 敏之
124,八音 
125,本宮 あまと
126,田中 冬志
127,飛田 崇文
128,taka（小抹香）
129,無銘【バルクホルン】
129,ウサギ【ストライカーユニット／武器】
130,田中 冬志
131,てるゆき
131,DUTCH
132,sai
133,齊藤 史樹
134,sai
135,爪塚 ヒロユキ
136,無銘
137,田中 冬志
138,橋本 涼
139,DUTCH
140,竜崎 理 
141,橋本 涼
142,福元 徳宝
143,たなか☆せんう
144,福元 徳宝
145,稲垣 洋
146,槙尾 宗利
147,みさいる 
148,タカク＆タケシ
149,柳生 敏之
150,タカク＆タケシ
151,みさいる 
152,sai
153,橋本 涼
154,みさいる 
155,福元 徳宝
156,福元 徳宝
157,稲垣 洋
158,田中 冬志
159,田中 冬志
160,てるゆき 
161,稲垣 洋
162,柳生 敏之
163,高橋 剛（一期栄華一杯酒）
164,DUTCH
165,矢遠 双嗣 
166,沼倉 としあき
167,明田川 昇
168,爪塚 ヒロユキ
169,みさいる
170,爪塚 ヒロユキ
171,たなか☆せんう
172,無銘
173,みさいる
174,てるゆき 
175,てるゆき 
176,槙尾 宗利
177,高橋 剛（一期栄華一杯酒）
177,たなか☆せんう
178,田中 冬志
179,あかつき
179,たなか☆せんう
180,KIMA（リサセッズ）
181,ウサギ
181,DUTCH
182,田中 冬志
183,槙尾 宗利
184,無銘
185,齊藤 史樹
186,橋本 涼
187,【CURVE】デザインココ 
188,羽根 モトカツ
189,矢遠 双嗣
190,乙山 法純
190,DUTCH
191,HIDE
191,槙尾 宗利
192,乙山 法純
193,爪塚 ヒロユキ
194,田中 冬志
195,みさいる 
196,橋本 涼
197,槙尾 宗利【リネット】
197,黒スズメ【ストライカーユニット／武器】
198,タカク＆タケシ【ルッキーニ】
198,みうら おさみ【ストライカーユニット】
198, 黒スズメ【武器】
199,柳生 敏之
200,DUTCH【ペリーヌ】
200,みうら おさみ【ストライカーユニット／武器】
201,無銘
202,無銘
203,明田川 昇
204,田中 冬志
205,無銘
206,てるゆき／【エステル】
206, 雨宮 英夫【ミニフィギュア】
207,橋本 涼
208,柳生 敏之
209,田中 冬志
210,無銘／【サーニャ】
210,みうら おさみ【ストライカーユニット／武器】
211,爪塚 ヒロユキ
212,羽根 モトカツ
213,羽根 モトカツ
214,沼倉 としあき【阿万音 鈴羽】
214,みうら おさみ【マウンテンバイク】
215,ゆま（スワンボートのスーザ）
216,橋本 涼
217,七崎 史郎
218,田中 冬志
219,田中 冬志
220,タナカマサノリ
220,柳生 敏之
221,矢遠 双嗣
222,槙尾 宗利
223,柳生 敏之
224,高橋 剛（一期栄華一杯酒）
224,槙尾 宗利
225,矢遠 双嗣
226,明田川 昇
227,槙尾 宗利
228,みらの
229,無銘
230,田中 冬志
231,無銘 
232,爪塚 ヒロユキ
233,田中 冬志
234,高橋　剛（一期栄華一杯酒）
235,たなか☆せんう
236,明田川 昇【ハルトマン】
236,無銘【ハルトマン】
236,山本洋平【ストライカーユニット】
236,黒スズメ【武器】
237,乙山 法純
237,無銘
238,田中 冬志
239,福元 徳宝
240,ルーニー 
241,柳生 敏之
242,明田川 昇
243,岩元 邦仁
244,iTANDi
245,田中 冬志
246,倉本 育馬（ミリメートルモデリング）
247,てるゆき【リタ】
247,雨宮 英夫【ミニフィギュア】
248,あかつき
249,たなか☆せんう
250,乙山 法純 
251,柳生 敏之
252,乙山 法純
253,齊藤 史樹
254,槙尾 宗利
255,乙山 法純
255,槙尾 宗利
256,爪塚 ヒロユキ
257,稲垣 洋
258,たなか☆せんう
259,田中 冬志
260,あかつき
261,たなか☆せんう
262,たなか☆せんう
263,槙尾 宗利
264,田中 冬志 
265,無銘
266,爪塚 ヒロユキ
267,明田川 昇
268,沼倉 としあき
269,沼倉 としあき
270,矢遠 双嗣
271,無銘
272,乙山 法純
273,槙尾 宗利
274,爪塚 ヒロユキ
275,爪塚 ヒロユキ
276,柳生 敏之
277,乙山 法純
278,沼倉 としあき
279,槙尾 宗利
279,乙山 法純
280,無銘
281,羽根 モトカツ 
282,森川 裕光
282,明田川 昇
283,森川 裕光
284,沼倉 としあき
285,柳生 敏之
286,あかつき
287,乙山 法純 
288,田中 冬志
289,高橋 剛（一期栄華一杯酒）
289, 
290,乙山 法純
291,齊藤 史樹
292,たなか☆せんう
293,明田川 昇
294,田中 冬志
295,絵里子（新居興業）
296,無銘
297,乙山 法純
298,柳生 敏之
299,高橋 剛（一期栄華一杯酒）
300,高橋 剛（一期栄華一杯酒）
301,高橋 剛（一期栄華一杯酒）
302,みらの
303,たなか☆せんう
304,齊藤 史樹
305,田中 冬志
306,沼倉 としあき
307,田中 冬志
308,紅月 一（Little pink summer）
309,田中 冬志
310,無銘
311,倉本 育馬（ミリメートルモデリング）
312,高橋 剛（一期栄華一杯酒）
312, 沼倉 としあき
313,乙山 法純
314,みらの
315,あかつき
316,乙山 法純
317,柳生 敏之
318,田中 冬志
318,無銘
319,爪塚 ヒロユキ
320,沼倉 としあき
321,田中 冬志
322,無銘
323,倉本 育馬（ミリメートルモデリング）
324,紅月 一（Little pink summer）
325,倉本 育馬（ミリメートルモデリング）
325, 
326,爪塚 ヒロユキ
327,稲垣 洋
328,齊藤 史樹
329,沼倉 としあき
330,竹内 剛太郎（アトリエバンブー）
330,  
331,田中 冬志
332,たなか☆せんう
333,明田川 昇
334,柳生 敏之
335,西村 直起（Pilot）
336,沼倉 としあき
337,紅月 一（Little pink summer）
338,JUN（E.V.）
339,齊藤 史樹
340,紅月 一（Little pink summer）
341,アサノ ユウジ  
342,爪塚 ヒロユキ
343,沼倉 としあき
344,たなか☆せんう
345,田中 冬志
346,森川 裕光
347,爪塚 ヒロユキ
348,乙山 法純
349,高橋 剛（一期栄華一杯酒）
350,倉本 育馬（ミリメートルモデリング）
351,森川 裕光
352,たなか☆せんう
353,沼倉 としあき
354,齊藤 史樹
355,紅月 一（Little pink summer）
356,西村 直起（Pilot）
357,猫丸 
358,IBUKI（羅刹）
359,田中 冬志
360,足立 暁
361,沼倉 としあき
362,YOSHI（とれぱんぐ）
363,小林 真（Long Long）
364,森川 裕光
365,竹内 剛太郎（アトリエバンブー）
366,田中 冬志
367,高橋 剛（一期栄華一杯酒）
368,矢遠 双嗣
369,田中 冬志
370,西村 直起（Pilot）
371,沼倉 としあき
372,竹内 剛太郎（アトリエバンブー）
373,田中 冬志
374,爪塚 ヒロユキ【津崎 青葉】
374,山本 洋平 & みうら おさみ【モリビト2号】
375,田中 冬志
376,紅月 一
377,森川 裕光
378,足立 暁
379,齊藤 史樹
380,高橋 剛（一期栄華一杯酒）
381,倉本 育馬（ミリメートルモデリング）
382,西村 直起（Pilot）
383,高橋 剛（一期栄華一杯酒）
384,稲垣 洋
385,徳永 弘範
386,猫丸
387,齊藤 史樹
388,田中 冬志
389,田中 冬志
390,田中 冬志
391,森川 裕光
392,河原 隆幸
393,徳永 弘範
394,田中 冬志
395,やまもと（Studio Delta Wave）
396,倉本 育馬（ミリメートルモデリング）
397,沼倉（シンセミア）
398,SHIN（G・KファクトリーSHIN）
399,YOSHI（how(s)）
400,沼倉（シンセミア）
401,山本苦力猿（D-SPEC）
402,倉本 育馬（ミリメートルモデリング）
403,BHP（まるちしんく）
404,徳永 弘範
405,倉本 育馬（ミリメートルモデリング）
406,山本苦力猿（D-SPEC）
407,沼倉 としあき
408,岩元 邦仁
409,目出ル金
410,蒼炎の人形師
411,岩元 邦仁
412,岩元 邦仁
413,蒼炎の人形師
414,ソガ氏（モワノー）
415,沼倉 としあき
416,いまい（モワノー）
417,岩元 邦仁
418,羽根 モトカツ
419,いまい（モワノー）
420,いまい（モワノー）
421,蒼炎の人形師
422,沼倉 としあき
423,鬼頭 祥子【アーチャー】
423,鬼頭 栄作【武器】
424,狐火郎
424,沼倉 としあき
425,蒼炎の人形師
426,いまい（モワノー）
427,ゆま（スワンボートのスーザ）
428,沼倉 としあき
429,岩元 邦仁
430,狐火郎 
431,蒼炎の人形師
432,いまい（モワノー）
433,蒼炎の人形師
434,岩元 邦仁
435,岩元 邦仁
436,狐火郎
436,ガレキの翔子
437,ぴろん 
438,さとう よしみ 
438, 蒼炎の人形師
439,沼倉 としあき
440,岩元 邦仁
441,狐火郎 
442,KaNA（ヘビーゲイジ）
442,沼倉 としあき
443,沼倉 としあき
444,沼倉 としあき
444,齊藤 史樹
444,蒼炎の人形師
445,ゆま（スワンボートのスーザ）
446,岩元 邦仁
447,荒川 貴大（ヘビーゲイジ）
448,ぴろん 
449,ALHIKO
450,森脇 直人
450,みらの 
451,岩元 邦仁 
452,岩元 邦仁 
453,沼倉 としあき
454,TOMO 
455,岩元 邦仁 
456,あかつき【レイヴン】
456,たいら ひとし【ミニフィギュア】
457,齊藤 史樹【ウェイバー】
457,雨宮 英夫【ミニライダー】
458,たなか☆せんう
459,沼倉 としあき
460,齊藤 史樹
461,沼倉 としあき
461,齊藤 史樹
462,みらの／【フレン】
462,乙山 法純【ミニフィギュア】
463,みらの 
464,齊藤 史樹
465,たなか☆せんう
466,田中 冬志
467,橋本 涼 
468,沼倉 としあき
469,竜人
470,沼倉 としあき
471,竜人
472,橋本 涼 
473,橋本 涼 
474,沼倉 としあき
475,飛田 崇文
476,本宮 あまと
477,竜人
478,無銘
479,明田川 昇
480,ピンポイント 
481,高橋 剛（一期栄華一杯酒）
482,田中 冬志
482,明田川 昇
483,倉本 育馬 （ミリメートルモデリング）
484,乙山 法純
485,田中 冬志
486,齊藤 史樹
487,柳生 敏之
488,森川 裕光
489,森川 裕光
490,羽根 モトカツ
491,稲垣 洋
492,齊藤 史樹
493,齊藤 史樹
494,高橋 剛（一期栄華一杯酒）
