name,series,character,release,price,size,sculptor,painter,material,brand,url,blog_url
"フォーミダブル","アズールレーン","AZUR LANE HMS Formidable","2022年12月発売 ","34,980円（税抜31,800円） ","1/7 スケール 全高：約240mm 全長：約30mm【艦載機】","飛田 崇文【フォーミダブル】 飛田 崇文＋みうら おさみ【艤装／艦載機】","鉄森 七方【フォーミダブル】 DUTCH【艦載機】","PVC&ABS製塗装済完成品表情は２種が再現可能艦載機２機付属",Alter,https://alter-web.jp/products/503/,"/blog_alter/2021/210/,"
"鷺沢 文香　潮風の一頁Ver.","アイドルマスター シンデレラガールズ","THE IDOLM@STER CINDERELLA GIRLS Sagisawa Fumika","2022年12月発売 ","21,780円（税抜19,800円） ","1/7 スケール 全高：約230mm","タカク＆タケシ","星名 詠美","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/507/,"/blog_alter/2021/219/,"
"キャスター／紫式部","Fate/Grand Order","Fate/Grand Order Caster/Murasaki Shikibu","2022年12月発売 ","29,480円（税抜26,800円） ","1/7 スケール 全高：約290mm（傘含む）","無銘","焦シミ＋渡邊 恭大","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/508/,"/blog_alter/2022/221/,"
"桑山 千雪　よそゆき顔のセレナーデVer.","アイドルマスター シャイニーカラーズ","THE IDOLM@STER SHINY COLORS Kuwayama Chiyuki","2022年11月発売 ","20,680円（税抜18,800円） ","1/7 スケール 全高：約250mm","齊藤 史樹","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/501/,"/blog_alter/2021/205/,"
"アヴェンジャー／ジャンヌ・ダルク〔オルタ〕","Fate/Grand Order","Fate/Grand Order Avenger/Jeanne d'Arc (Alter)","2022年10月発売 2019年10月発売 ","29,480円（税抜26,800円） ","1/7 スケール 全高：約430mm（旗含む）","いまい（モワノー）＋柳生 敏之","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/230/,"/blog_alter/2021/209/,/blog_alter/2018/119/,"
"ジャベリン　ビーチピクニック！Ver.","アズールレーン","AZUR LANE HMS Javelin","2022年10月発売 ","20,680円（税抜18,800円） ","1/7 スケール 全高：約270mm（武器含む）","槙尾 宗利","渡邊 恭大","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/499/,"/blog_alter/2022/84/,/blog_alter/2021/204/,"
"ミリム・ナーヴァ","転生したらスライムだった件","","2022年10月発売 ","20,680円（税抜18,800円） ","1/7 スケール 全高：約230mm（台座含む）","稲垣 洋","渡邊 恭大","PVC&ABS製塗装済完成品マント無しの姿も再現可能",Alter,https://alter-web.jp/products/502/,"/blog_alter/2021/206/,"
"ベルファスト　彩雲の薔薇Ver.","アズールレーン","AZUR LANE HMS Belfast","2022年9月発売 ","23,980円（税抜21,800円） ","1/7 スケール 全高：約260mm","柳生 敏之","星名 詠美","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/497/,"/blog_alter/2022/247/,/blog_alter/2021/201/,"
"バーサーカー／宮本 武蔵","Fate/Grand Order","Fate/Grand Order Berserker/Miyamoto Musashi","2022年8月発売 ","21,780円（税抜19,800円） ","1/7 スケール 全高：約330mm（武器含む）","田中 冬志 原型協力：アルター","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/498/,"/blog_alter/2021/203/,"
"シリアス　青雲映す碧波Ver. ","アズールレーン","AZUR LANE HMS Sirius","2022年8月発売 ","23,980円（税抜21,800円） ","1/7 スケール 全長：約280mm（小物含む）","みさいる【シリアス／マスコット】 ウサギ【艤装／小物】","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/495/,"/blog_alter/2021/197/,"
"ル・トリオンファン","アズールレーン","AZUR LANE FFNF Le Triomphant","2022年7月発売 ","29,480円（税抜26,800円） ","1/7 スケール 全高：約240mm 全長：約270mm（武器／艤装含む）","槙尾 宗利【ル・トリオンファン】 槙尾 宗利＋ウサギ【艤装】","鉄森 七方【ル・トリオンファン】 みうら おさみ【艤装】","PVC&ABS製塗装済完成品艤装は取り外し可能、左腕２種付属",Alter,https://alter-web.jp/products/490/,"/blog_alter/2021/194/,"
"ル・トリオンファン　軽装Ver.","アズールレーン","AZUR LANE FFNF Le Triomphant","2022年7月発売 ","19,580円（税抜17,800円） ","1/7 スケール 全高：約240mm 全長：約250mm（武器含む）","槙尾 宗利","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/491/,"/blog_alter/2021/194/,"
"ブラックハート","超次元ゲイム ネプテューヌ","HYPERDIMENSION NEPTUNE Black Heart","2022年5月発売 2015年11月発売 ","18,480円（税抜16,800円） ","1/7 スケール 全高：約310mm（羽／台座含む） 全長：約410mm（羽／武器含む）","明田川 昇","渡邊 恭大","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/91/,"/blog_alter/2022/229/,/blog_alter/2020/192/,"
"パープルハート","超次元ゲイム ネプテューヌ","HYPERDIMENSION NEPTUNE Purple Heart","2022年5月発売 2018年4月発売 ","20,680円（税抜18,800円） ","1/7 スケール 全高：約350mm（羽／台座含む）","槙尾 宗利【パープルハート】 ウサギ【ユニット／武器】","DUTCH","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/181/,"/blog_alter/2020/192/,/blog_alter/2016/58/,"
"ソフィー（ソフィー・ノイエンミュラー）","ソフィーのアトリエ ～不思議な本の錬金術士～","Atelier Sophie ~The Alchemist of the Mysterious Book~ Sophie Neuenmuller","2022年5月発売 ","21,780円（税抜19,800円） ","1/7 スケール 全高：約260mm（杖／台座含む）","明田川 昇","鉄森 七方","PVC&ABS製塗装済完成品",Alter,https://alter-web.jp/products/486/,"/blog_alter/2020/189/,"
